sentence1,sentence2,score
A dog is looking around,A dog is watching a store counter.,0.32
A woman is slicing an onion.,A man is shown slicing a carrot with a knife.,0.24
The man drilled holes into the wood.,A man drills wood.,0.84
Someone is cutting a circle out of a pink sheet of paper.,Someone is pouring tomato sauce into a pot of meat.,0.04
A man is playing flute.,A man is petting a tied up dog.,0.04
A man is placing meat in a bag.,A man is drivong a car.,0.1
A girl is eating a cupcake.,A man is playing a trumpet.,0.0
A rabbit is sniffing and pawing a stuffed rabbit.,A live rabbit is playing with a stuffed animal bunny.,0.9
A man is buttering bread.,A woman is ridint a horse.,0.0
A woman is squeezing some cucumber slices.,A woman is getting doused in green slime.,0.15
A man is taking out the insides of a green pepper.,Someone is removing the seeds from a bell pepper.,0.8
A man takes a piece of pepperoni pizza out of a pizza box and puts it on the lid after he closes the box.,The man took a piece of pepperoni pizza out of the box.,0.55
The man added vegetables to the broth in the pot.,A man is adding sliced vegetables to a cooking bowl with water.,0.68
The man ran and jumped against the wall.,A man jumps into a wall.,0.68
The man is seasoning the sausages.,The man added seasoning to water in a bowl.,0.48
A clown is singing and people are dancing.,A clown is singing.,0.6
A woman is feeding an aardvark.,A woman is chopping up garlic.,0.08
A person is rinsing a steak off with water.,A man is rinsing a large steak.,0.79
A boy rode his bike on top of a metal fence.,A BMX biker rides along the top of a fence.,0.6
A man is throwing knives at a tree.,A man is showing magic.,0.35
Girls are walking on the stage.,Women models are walking down a catwalk.,0.52
A woman is doing weight exercises.,A woman is exercising with a barbell.,0.7
A man is peeling a potato.,A man is hiking.,0.1
A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something.,A bird picks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl.,0.7
A woman is in the rain.,A car is driving along the road.,0.0
A woman is hitting a man.,A man is holding a slow loris.,0.0
A woman is riding an elephant.,A man is lifting himself.,0.0
A man is lifting weights.,A woman is exercising her abs.,0.2
A person is riding a jetski in the waves.,A woman is riding a seadoo.,0.4
A woman is wearing headphones.,A woman is chopping some shiso leaves.,0.12
A kitten is eating its food from a plate.,A kitten eats some food.,0.8
A woman is reading a lifestyle magazine.,A woman is slicing a meat into pieces.,0.1
A man is pouring chili into a bowl.,A man opens a can and pours the contents into a bowl.,0.5
The bird ate the food in the tree from a bowl.,A bird is eating from a bowl.,0.65
A group of girls are exiting a taxi.,A video clip of Rihanna leaving a taxi.,0.4
A woman is seasoning a piece of meat.,A man is loading a rifle with bullets.,0.0
A man is chopping coriander leaf.,A man is playing a guitar.,0.16
A man takes a slice of pizza.,A man talks on his cell phone.,0.16
A man is placing meat inside a plastic bag.,A woman is carrying a wallaby in a bag.,0.08
A rabbi is talking.,A man is walking on a rope.,0.0
A man rides a horse.,A woman rubs a baby's leg.,0.0
A man is playing guitar.,Smeone is laying down.,0.0
A man is slicing a bun.,A man is breaking pots.,0.08
A man  is driving a car.,A woman dips a shrimp in batter.,0.0
A dog is pawing at a fly in the carpet before it.,The dog played with a bug on the carpet.,0.72
A dog is barking.,A jet is flying.,0.05
A monkey is walking on a bed.,A man is riding a horse.,0.0
A woman is cooking broccoli.,A man is eating his food.,0.1
A man is frying a tortilla.,A person is performing a card trick.,0.0
A woman serving volleyballs over a net.,One woman hands volleyballs to another woman who serves them.,0.55
A man is slicing cucumber with a knife.,A man is cooking a tortilla in a skillet.,0.15
A man is playing an electronic keyboard.,A band is playing instruments.,0.25
A man is playing a violin.,The baby is laughing and crawling.,0.0
A man severs the toe of an empty leather boot using a sword.,A man is cutting a boot with a sword.,0.75
The person is removing the scales from the fish.,A person is descaling a fish.,1.0
People are walking in the garden.,One boy is talking with other man.,0.0
A young child rides a horse.,The little girl rode a horse.,0.64
A person is cutting garlic into pieces with a knife.,Someone is putting ingredients into a wok.,0.15
A man is folding a piece of paper.,A man is slicing a plastic container with a sword.,0.1
The man was pushed into the water.,A man pushes another man into the ocean.,0.5
A boy is upset playing video games.,Someone is playing a gameboy.,0.35
A man makes a call on a cell phone.,A man is making a phone call.,0.8
A man is speaking on a phone.,A panda bear is chewing on a stick.,0.0
A woman is applying cosmetics to her face.,A woman is putting on makeup.,0.92
The man lifted barbells.,A man lifts weights.,0.8
A woman feeds an animal by hand.,The women are feeding the animal.,0.6
Several ferrets climb out of their cage.,Ferrets climb down from a shelf.,0.44
A young woman is playing the flute.,A woman is washing off the top of a freezer.,0.0
A woman shoots a shotgun.,The woman is shooting a rifle.,0.56
A person is adding chili powder to chili with beans.,The man is adding seasoning to the beans.,0.76
A woman rapidly fires a handgun.,A woman is shooting off a gun.,0.88
A person is slicing an onion.,A solenodon is walking along the ground.,0.0
A dog is opening a fridge.,A dog closes a refrigerator door.,0.35
A woman is holding a dancing baby up.,A woman is abusing her child.,0.2
A woman is doing a joker make up on a man.,The girl applied face makeup to a man.,0.36
The lady added cheese to the sauce.,A man pours a plate of shredded cheese into a pot of sauce.,0.32
A man is giving a lecture on a podium.,A man is delivering a lecture at an event celebrating the game of cricket.,0.47
The cat shimmied under the bed.,A cat is crawling upside down under the couch.,0.4
A woman is chopping garlic.,A woman slices a fish.,0.2
A man is cutting grass.,A masked man sings.,0.0
A man is cutting grass.,A clown is singing.,0.0
A boy runs away from his fishing line.,A boy is running in front of fish hanging on fishing rod.,0.6
The man played haki sak in the office.,The man is seasoning the vegetables.,0.08
A man is carrying another man on his back.,A man is taking pictures of ant.,0.08
Meat is dropped into a pan.,A woman is putting meat in a pan.,0.65
A woman is cutting scallions.,A woman falls on a sand castle.,0.0
A man is slam dunking a ball.,A woman is slicing some onions.,0.0
A machine is sharpening a pencil.,A girl is riding a bicycle.,0.0
A woman is brushing her feet.,The sun is rising behind trees.,0.0
A man is cleaning the windows.,A man is driving a car.,0.08
A person is stirring rice.,A woman is cracking an egg.,0.2
A man puts a knife in a vice.,A man is dancing.,0.05
A boy plays violin on stage.,A boy is onstage playing the violin.,0.85
A woman cuts a pink loaf with a knife.,A man is playing a guitar.,0.02
A man is adding pork chops to a pan.,A woman is peeling a potato.,0.2
The men are fighting each other.,The man drew on the white paper.,0.08
A man is catching a ball.,A cat is rubbing against a baby.,0.0
A girl is reading a newspaper.,A chef is peeling a potato.,0.0
A slow loris bites a persons fingers.,A small animal is chewing on a finger.,0.5
A man is walking along a path through wilderness.,A man is peeling an onion.,0.15
The man played his guitar.,A guy is singing while playing his guitar.,0.6
Some men are skating on the road.,Two boys are skate boarding.,0.52
A man pours liquid into a pan.,The chef poured oil in the pan.,0.52
A boy is playing piano and singing.,A pig is agitating a lion.,0.0
A cat and a ferret are playing.,A ferret and kitten play together.,0.85
A monkey is walking through the water.,A guy is playing a trumpet.,0.0
A woman is putting on makeup.,A band is singing.,0.0
A dog is driving a car.,A guy is talking into a microphone.,0.0
The man sang on stage into the microphone.,A man in a suit is standing at a microphone and singing.,0.7
A car backs out of a space.,A car is taking reverse.,0.48
A man is holding a frog.,A man is emptying a plastic container.,0.12
A man is traveling in a boat.,A woman is cutting up a carrot with a knife.,0.0
The man rode his motorcycle down the highway.,A person is driving a motorcycle on a road.,0.75
A man is dicing an onion.,The man is playing the guitar.,0.08
A man performs on a stage.,A man guts a fish.,0.08
The women are sitiing down.,Two women are sitting close to each other and talking.,0.52
A man removes a couple of toaster scrambles from a plastic packet.,A man removes food from a bag.,0.35
A woman is dancing by a fire.,A man ties a noose.,0.0
A man is meditating.,The man is riding the horse.,0.15
A boy is cutting paper.,A man is loading a rifle.,0.0
The man talked on the telephone.,Girls are walking on the stage.,0.0
A man is playing the guitar and singing.,A man is opening a package containing headphones.,0.16
the soccer player kicked the ball side to side between his legs.,A person is kicking a soccer ball back and forth between his feet.,0.68
An animal is walking.,A woman is applying eye makeup.,0.0
Someone is scratching an animals belly.,A woman is stroking a lemur.,0.4
A man is lifting heavy weights.,A wallaby is licking a woman's hand.,0.05
A boy is playing with a toy.,A boy plays a handheld game.,0.6
A man dives off of a cliff.,A man is riding a motorcycle.,0.13
A man is coming out into the water.,A man rises from a swamp.,0.64
A man and woman dance.,A man is petting a dog.,0.07
A man is sweeping the floor of a house using a long broom.,The man swept the empty living room.,0.67
A group of couples are dancing.,Men and women are dancing slowly.,0.67
A man is scaling a fish.,A man pours some cooking oil into a pot.,0.2
The man set up his camera to take sunset pictures at the beach.,A man is taking pictures of a lake.,0.44
Someone is holding and petting a baby tiger.,Someone is rinsing a large beef steak at the kitchen sink.,0.08
The man is playing the guitar.,The cat cleaned his face with his paw.,0.0
The man did pushups on a wall.,The man tased the food.,0.05
A woman cuts up a vegetable.,A woman is slicing egg plant.,0.45
A person breaks an egg into a small bowl.,A man cracks an egg.,0.52
A man is playing keyboards.,A man is riding a mechanical bull.,0.24
A dog is running around a yard.,A black pet dog runs around in the garden of a house.,0.64
A child is walking down the street as a jeep pulls up.,A woman is walking along a road and a man in a motorcar pulls up beside her.,0.28
A man is adding oil to a pot.,A dog is catching a fish in a river.,0.04
The girl danced in front of the bonfire.,A woman is dancing to music standing near a bonfire.,0.55
A man is chopping butter into a container.,A woman is cutting shrimps.,0.12
A girl is dragged downhill by a dog.,A dog is pulling a child down a hill.,0.76
The man took off his sunglasses while talking.,A man wearing a hard hat removes his glasses as he speaks.,0.68
The two men did a funny skit with a boxer in front of a crowd of people.,Boys are dancing in front of people.,0.3
The girl is tiding up her bed.,A woman is making a bed.,0.5
Someoen is cooking onions.,A man is swinging nunchucks.,0.0
The man is using a sledghammer to break the concrete block that is on the other man.,A man breaks a slab of concrete that is lying on a prone man with a sledge hammer.,1.0
The lady put the dried noodles in the hot water to cook.,A woman places a container of noodles in a pan of water.,0.87
The girls danced on the stage.,A girl is putting on makeup.,0.07
A panda bear is laying down.,A baby panda relaxes on some logs.,0.67
Two kids are playing in a swimming pool with a green colored crocodile float.,Two kids push an inflatable crocodile around in a pool.,0.84
